time,X,Y,Z
0.0,0.6349999904632568,0.20999999344348907,-0.6669999957084656
0.04,0.6380000114440918,0.20900000631809235,-0.6949999928474426
0.08,0.6259999871253967,0.20999999344348907,-0.7089999914169312
0.12,0.597000002861023,0.22300000488758087,-0.7200000286102295
0.16,0.6050000190734863,0.2460000067949295,-0.7440000176429749
0.2,0.625,0.2540000081062317,-0.7379999756813049
0.24,0.6299999952316284,0.25200000405311584,-0.6949999928474426
0.28,0.6549999713897705,0.2460000067949295,-0.6589999794960022
0.32,0.6759999990463257,0.23999999463558197,-0.6439999938011169
0.36,0.6740000247955322,0.24899999797344208,-0.6359999775886536
0.4,0.6949999928474426,0.28299999237060547,-0.6959999799728394
0.44,0.7110000252723694,0.2939999997615814,-0.7799999713897705
0.48,0.7110000252723694,0.27799999713897705,-0.6909999847412109
0.52,0.7120000123977661,0.257999986410141,-0.609000027179718
0.56,0.7210000157356262,0.25699999928474426,-0.640999972820282
0.6,0.7039999961853027,0.2639999985694885,-0.6930000185966492
0.64,0.6589999794960022,0.2669999897480011,-0.6959999799728394
0.68,0.6539999842643738,0.27799999713897705,-0.7070000171661377
0.72,0.6819999814033508,0.2750000059604645,-0.7089999914169312
0.76,0.6729999780654907,0.26499998569488525,-0.6579999923706055
0.8,0.6570000052452087,0.25600001215934753,-0.6150000095367432
0.84,0.6439999938011169,0.25600001215934753,-0.6200000047683716
0.88,0.6349999904632568,0.2619999945163727,-0.6399999856948853
0.92,0.6349999904632568,0.26899999380111694,-0.6669999957084656
0.96,0.6579999923706055,0.27399998903274536,-0.7059999704360962
1.0,0.6830000281333923,0.26899999380111694,-0.6809999942779541
1.04,0.6869999766349792,0.2680000066757202,-0.6200000047683716
1.08,0.6819999814033508,0.2759999930858612,-0.5839999914169312
1.12,0.6819999814033508,0.2840000092983246,-0.5619999766349792
1.16,0.7059999704360962,0.29499998688697815,-0.5649999976158142
1.2,0.7990000247955322,0.3070000112056732,-0.6179999709129333
1.24,0.8199999928474426,0.3050000071525574,-0.6140000224113464
